data,link
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbig-history%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbig-history%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fguitar%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fguitar%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdesign-language%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdesign-language%3Fedocomorp%3Dfree-courses-college-students
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fphilosophy%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fphilosophy%3Fedocomorp%3Dfree-courses-college-students
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Ffashion-design%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Ffashion-design%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fmaking-architecture%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fmaking-architecture%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fmusic-theory%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fmusic-theory%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbig-history%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbig-history%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fguitar%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fguitar%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdesign-language%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdesign-language%3Fedocomorp%3Dfree-courses-college-students
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fuva-darden-market-analytics%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fuva-darden-market-analytics%3Fedocomorp%3Dfree-courses-college-students
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcontent-marketing%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcontent-marketing%3Fedocomorp%3Dfree-courses-college-students
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Ffamily-planning%3Fedocomorp%3Dcareer-development-free>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Ffamily-planning%3Fedocomorp%3Dcareer-development-free
