name,enrolled,instructor,instructorImage,rating,ratingNo,reviewer,reviews,description,time,provider,catagory,subCatagory
Converting Challenges into Opportunities,"61,585",Drew Dougherty,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/3e/0d484073a711e7810a690575c028fb/Pic-Drew-website_LI.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,297,"by SH,by CB","This course is well-organized but could benefit from some updating as most of the material is years old. Otherwise, I got refreshed on many human-centered deign techniques and learned a few new ones.,Thanks to both the Faculty for such a wonderful and exploratory concepts through out the course. Really helped refresh some of the topics learnt long back and new ones put into practice straight up.","In a very competitive workplace, demonstrating your ability to turn challenges into opportunities is an important to way stand out to hiring managers and to your existing management/leadership.    In this course, you will learn how to utilize the knowledge and skills needed to leverage left- and right-brain thinking, analyze problems, spur creativity, and implement innovative ideas for your workplace. Using the power of design thinking and Creative Problem Solving models you will work toward data-driven solutions to workplace challenges.  You will engage in an active process of identifying/defining a specific challenge,  generating  a plan to address the challenge, collecting and analyzing data/information in order to sell your solution to your leadership, implementing your data-driven solution, and evaluating success of the solution.",Beginner Level,University of California San Diego,Personal Development,Personal Development
Successful Career Development,"62,523",Dan Stotz,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/79/753d90b87111e5b5992b53a95dfdb5/Dan-Stotz-Photo.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,438,"by T,by VC","This was a great course that put somethings in perspective. The netweaving part was fantastic and really made me think about the essence of networking. Also the series about being authentic as well.,The Netweaving concept is really interesting and new to me. For a beginner, this is the one course to facilitate the process of entering, thriving and advancing career in the corporate world.","No matter the professional level, we can all benefit from learning how to succeed in our careers. Whether a well-seasoned professional, a management trainee, or a service level employee, this course will help you enrich your career by honing your professional behavior and networking. ",Beginner Level,University System of Georgia,Personal Development,Personal Development
How to Write a Resume (Project-Centered Course),"194,272",Holly Justice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/8d/e9caa0021811e8a7fe0d5f60e89825/Screen-Shot-2018-01-25-at-4.30.35-PM.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,902,"by RP,by RM","It's wonderful experience with Quiz of Resume. I learn lots of things about resume and I am sure after completing this wonderful course everyone can write a effective and impressive resume.thank you.,A good overview of the Resume and various types and its importance in their particular field. Also, this course throws light on how the content should be organized and the importance of presentation.",What you’ll achieve: ,Approx. 5 hours to complete,The State University of New York,Personal Development,Personal Development
"Sit Less, Get Active","111,657",Danijela Gašević,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c8/16bdd0a59211e5b39e8fb33b8a68a0/danijela-gasevic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,498,"by ND,by MM","The greatest course ever! It is so realistic that can apply for every one, not only myself. I have got a range of tips to sit less, get active in here. Once again, thank you alot for your effort.,This is a very useful and short course that covers all you need to get active, and is well seupported by a well chosen set of optional readings for anyone wanting to learn more. Highly recommended.",Physical inactivity and sedentariness are “silent killers”. Do you feel like you spend too much time sitting? Do you feel like you would like to be more active?  Are you unsure about how to incorporate physical activity into your daily life? We are here to help. ,Beginner Level,The University of Edinburgh,Personal Development,Personal Development
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,"372,822",Barbara Oakley,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d4/7a6a20f1f611e68b4583f69f63ce84/Oakley_reduced.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,3254,"by DI,by SM","Great course! This is a lot more general than Learning about Learning but is also useful nonetheless. I like the focus on keeping positive and being confident in your potential despite our weaknesses.,I enjoyed this MOOC. It is very well-done and clearly covers the topics of mindshifting along with career advancement. Also--good illustrations and visuals/sounds which assist in the learning process.","Mindshift is designed to help boost your career and life in today’s fast-paced learning environment. Whatever your age or stage, Mindshift teaches you essentials such as how to get the most out of online learning and MOOCs, how to seek out and work with mentors, the secrets to avoiding career ruts (and catastrophes) and general ruts in life, and insights such as the value of selective ignorance over general competence.  We’ll provide practical insights from science about how to learn and change effectively even in maturity, and we’ll build on what you already know to take your life’s learning in fantastic new directions.  This course is designed to show you how to look at what you’re learning, and your place in what’s unfolding in the society around you, so you can be what you want to be, given the real world constraints that life puts on us all. You’ll see that by using certain mental tools and insights, you can learn and do more—far more—than you might have ever dreamed!",Beginner Level,McMaster University,Personal Development,Personal Development
Creative Problem Solving,"210,351","Brad Hokanson, PhD",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a5/df790de0ce3c48b7e0722abfd5b4da/BradHokanson_inColonia2sm.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.4,617,"by EN,by AF","I really enjoyed this course, it was very informative and easy to follow. The videos were clear and the graded sections were great. The course as a whole was enjoyable and would recommend to others.,SO INTERESTING AND FUN. Have you ever took a stranger'S secret and propose another stranger to take that secret in exchange of one of his? This course is an opportunity to do crazy stuff like that!","This course deals directly with your ability for creativity which is a critical skill in any field. It focuses on divergent thinking, the ability to develop multiple ideas and concepts to solve problems. Through a series of creativity building exercises, short lectures, and readings, learners develop both an understanding of creativity and increase their own ability.",Approx. 14 hours to complete,University of Minnesota,Personal Development,Personal Development
Healing with the Arts,"76,021","Mary Rockwood Lane, PhD, RN, FAAN",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6b/c649c0e98811e680cf4760d6891abb/download.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,299,"by JG,by LQ","fantastic course! Although a little too hippie and idealistic for my taste. It takes more than the arts to heal someone. Although it was a very good course about alternative medicine and treatments.,Unfortunately due to travelling i was not able to complete the last lesson but I loved this course so much!!! It was very inspiring and i will put everything i learned in practice! Thank you!!","Through art projects—including visual arts, dance, writing, and music—along with spiritual practices and guided imagery, Healing With the Arts gives you the tools to heal what you need to heal in your life: physical, mental, emotional, and spiritual.",Approx. 13 hours to complete,University of Florida,Personal Development,Personal Development
Creative Thinking: Techniques and Tools for Success,"188,804",Peter Childs,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/cf/8f6db6300a477db77c486e8af0fd18/Peter-Childs-head.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,912,"by JM,by M","An excellent course for a systematic exposure of some interesting and widely used creativity tools! Thanks for increasing the awareness and confidence to use them in professional and personal domains!,Amazing to find out that I have been using the Six thinking Hats tool all my adult life and I wasn't even aware of its existence! As an Event Manager, I would definitely be applying many of the tools.","In today’s ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.",Approx. 20 hours to complete,Imperial College London,Personal Development,Personal Development
Introduction to Personal Branding,"240,515","Kimberley  Barker, MLIS",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6e/a06ef0dd6911e4a9ddd1042504b04c/barker.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.4,2451,"by PP,by OS","It is a really helpful course to learn about personal branding which an important aspect in our modern world. I highly recommend this course. And the tutor Kimberly is awesome and teaches really well.,This course helps to identify the best way for you to create your own branding, from understand your personality to creating your own mission statement and how to engage your audience on social media.","Though the concept of personal branding isn't new, questions remain about how to create one and, more importantly, what it means to maintain and inhabit that brand. ",Beginner Level,University of Virginia,Personal Development,Personal Development
Exploring Emerging Technologies for Lifelong Learning and Success,"30,263",Roberta (Robin) Sullivan,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/8f/526500eaa311e7acb56996a64474ac/Roberta-Robin-Sullivan-Profile.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.2,119,"by AC,by SK","This is a very helpful course that improves my skills and abilities in using technology and lifelong learning skills. I can use my output in the course in my profession and share it with others.,This course is highly recommended for everyone from any sphere of life, since the new digital age demands to embrace a change and learn new ways to execute your daily/official life matters.",This learning opportunity is an open-access resource for lifelong learning. The aim is to identify the value and implications of using established and emerging technology tools for personal and professional growth and acquire strategies to develop lifelong learning habits to keep pace with technology change.,Approx. 4 hours to complete,The State University of New York,Personal Development,Personal Development
The Arts and Science of Relationships: Understanding Human Needs,"150,012",A. Ka Tat Tsang,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/35/ec57b0029a11e79b4b45e73126043a/DSC09454.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,382,"by M,by JK","Really fun and felt like I learned a lot about myself. If you are looking for insight on your relationships whether it is your significant other, best friend, or family than this class is for you!!!!,This course manages to be information-packed and interesting at the same time. Professor Tsang and his team engages the leaner in a conversation-like format in each lecture that is just the lenght!",This course provides an introduction to:,Beginner Level,University of Toronto,Personal Development,Personal Development
Calculus: Single Variable Part 3 - Integration,"32,458",Robert Ghrist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/45/9a93f4b6a7a096a9c2cab55c385d87/Robert-Ghrist.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,67,"by CC,by XL","I like it because it though me differential equations. This topics was previously missing from my education. It can be daunting to learn DE without proper guidance. This course provided just that.,The Bonus lectures are just great! I majored in Mathematics in university, and they're even enlightening to me. BTW, thanks for the introduction to Wolfram Alpha. It's really fun.","Calculus is one of the grandest achievements of human thought, explaining everything from planetary orbits to the optimal size of a city to the periodicity of a heartbeat. This brisk course covers the core ideas of single-variable Calculus with emphases on conceptual understanding and applications. The course is ideal for students beginning in the engineering, physical, and social sciences. Distinguishing features of the course include: 1) the introduction and use of Taylor series and approximations from the beginning; 2) a novel synthesis of discrete and continuous forms of Calculus; 3) an emphasis on the conceptual over the computational; and 4) a clear, dynamic, unified approach.",Approx. 17 hours to complete,University of Pennsylvania,Math and Logic,Math and Logic
Think Again I: How to Understand Arguments,"275,306",Dr. Walter  Sinnott-Armstrong,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/70/4422b8e7cd544fdce1812794dba951/Ram_Walter_pic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,706,"by TH,by AA","Not a bad course at all! Even though I didn't pay for the course, I still very much came away from it learning something. The proff is very easy to understand and makes it interesting. Thank you!,Very good course, made me really think again. The professor is very clear on his explanations and he also made the course smooth and funny, which helped on the learning process. Highly recommended!","In this course, you will learn what an argument is. The definition of argument will enable you to identify when speakers are giving arguments and when they are not. Next, you will learn how to break an argument into its essential parts, how to put them in order to reveal their connections, and how to fill in gaps in an argument by adding suppressed premises. By the end of this course, you will be better able to understand and appreciate arguments that you and other people present.",Beginner Level,Duke University,Personal Development,Personal Development
De-Mystifying Mindfulness,"198,637",Chris Goto-Jones,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/11/1110d063cf11e6a727d575d2e223ad/course-emblem-MOOC.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,555,"by SM,by AV","A course that will open your mind and heart. I thoroughly enjoyed it and learnt so much about Mindfulness and how I want to incorporate it into my daily life, relationships and personality. Thank you!,It is such a useful and practical course. The contents, discussions, assignments and quizzes are extremely insightful. I truly enjoyed the course and awaiting a second phase of the course in future.","Interest in meditation, mindfulness, and contemplation has grown exponentially in recent years.  Rather than being seen as mystical practices from ancient Buddhism or esoteric philosophy, they are increasingly seen as technologies rooted in evidence from psychology and neuroscience.  Mindfulness has become the basis for numerous therapeutic interventions, both as a treatment in healthcare and as a means of enhancing well-being and happiness.  For millions around the world, mindfulness has become a life-style choice, enhancing and enriching everyday experience. Mindfulness is big business.",Beginner Level,Universiteit Leiden,Personal Development,Personal Development
Calculus: Single Variable Part 1 - Functions,"113,460",Robert Ghrist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/45/9a93f4b6a7a096a9c2cab55c385d87/Robert-Ghrist.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,476,"by YG,by NL","Very well structured for a refresher course. Thank you Professor Ghrist for your effort in putting this course together. A little additional outside research was required but well worth the effort.,Excellent introduction to Calculus, I wanted to review the material to tutor my child but I am very happy that I learned a whole new way of looking at Calculus. Thank you so much Prof. Ghrist.","Calculus is one of the grandest achievements of human thought, explaining everything from planetary orbits to the optimal size of a city to the periodicity of a heartbeat. This brisk course covers the core ideas of single-variable Calculus with emphases on conceptual understanding and applications. The course is ideal for students beginning in the engineering, physical, and social sciences. Distinguishing features of the course include: 1) the introduction and use of Taylor series and approximations from the beginning; 2) a novel synthesis of discrete and continuous forms of Calculus; 3) an emphasis on the conceptual over the computational; and 4) a clear, dynamic, unified approach.",Approx. 14 hours to complete,University of Pennsylvania,Math and Logic,Math and Logic
Data Science Math Skills,"287,198",Daniel Egger,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d2/8dd470500f11e5a78fd13a80a4d3b4/Egger_Daniel_web.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,2196,"by RS,by VS","This was mostly review for me though probability especially Beyes Theorem derivation was new. The instructors provided clear often refreshing ways to look at material. Thank you for a great class!!,This course syllabus is great. It starts wonderfully. Week 1 to 4 is taught by Paul Bendich, and Daniel Egger the instruction is awesome. Effective way to refresh and add the Data Science math skills!","Data science courses contain math—no avoiding that! This course is designed to teach learners the basic math you will need in order to be successful in almost any data science math course and was created for learners who have basic math skills but may not have taken algebra or pre-calculus. Data Science Math Skills introduces the core math that data science is built upon, with no extra complexity, introducing unfamiliar ideas and math symbols one-at-a-time. ",Beginner Level,Duke University,Math and Logic,Math and Logic
Calculus: Single Variable Part 2 - Differentiation,"39,425",Robert Ghrist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/45/9a93f4b6a7a096a9c2cab55c385d87/Robert-Ghrist.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,160,"by JB,by WG","So much fun, and hits all sorts of things I'd always wanted to know. The homework took me a long time, so I didn't get to watch all the bonus lectures, but the ones I did were really interesting.,Not a class for someone with no calculus experience. However, if you have some calculus knowledge it will deepen your knowledge more than any other MOOC I have found. Truly a great course.","Calculus is one of the grandest achievements of human thought, explaining everything from planetary orbits to the optimal size of a city to the periodicity of a heartbeat. This brisk course covers the core ideas of single-variable Calculus with emphases on conceptual understanding and applications. The course is ideal for students beginning in the engineering, physical, and social sciences. Distinguishing features of the course include: 1) the introduction and use of Taylor series and approximations from the beginning; 2) a novel synthesis of discrete and continuous forms of Calculus; 3) an emphasis on the conceptual over the computational; and 4) a clear, dynamic, unified approach.",Approx. 10 hours to complete,University of Pennsylvania,Math and Logic,Math and Logic
Introduction to Calculus,"134,199",David Easdown,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/54/e50680cc4711e88cfc6bf3965550dd/David-Easdown-MOOC-portrait---teal-pattern.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,786,"by OM,by SV","I have completed quite a few courses on Coursera. This is by far the best instructor. I really hope David is going to do teach another Coursera course soon - I will sign up regardless of the content!,Exceptional course. Fantastic explaining by Professor Easdown, I wish more teachers were as clear as he is, and as kind and thoughtful towards their students. Many, many thanks in case you see this.","The focus and themes of the Introduction to Calculus course address the most important foundations for applications of mathematics in science, engineering and commerce. The course emphasises the key ideas and historical motivation for calculus, while at the same time striking a balance between theory and application, leading to a mastery of key threshold concepts in foundational mathematics. ",Intermediate Level,The University of Sydney,Math and Logic,Math and Logic
Getting Started with AWS Machine Learning,"181,605",Blaine Sundrud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/58/b6b120e20211e89841833178927cb6/BlaineMugContrast.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,1445,"by OB,by VV","Liked the course. Provided me with the various services provided by AWS, although I did not understand a few concepts since I am a complete novice at Machine Learning. Thanks you Amazon and Coursera.,Demonstration is very fast and in week five one video is 70 minutes long. It can be divided in to several short videos. Seeing a long video is creating a boredom. Otherwise it is a very nice course.","Machine learning (ML) is one of the fastest growing areas in technology and a highly sought after skillset in today’s job market. The World Economic Forum states the growth of artificial intelligence (AI) could create 58 million net new jobs in the next few years, yet it’s estimated that currently there are 300,000 AI engineers worldwide, but millions are needed. This means there is a unique and immediate opportunity for you to get started with learning the essential ML concepts that are used to build AI applications – no matter what your skill levels are. Learning the foundations of ML now, will help you keep pace with this growth, expand your skills and even help advance your career. ",Intermediate Level,Amazon Web Services,Data Science,Machine Learning
Chinese for Beginners,"1,035,715",Xiaoyu Liu,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/fe/998510108b11e48192c94c9f94ff29/__.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,4665,"by SA,by PP","Awesome experience it was a comprehensive and informative course. I learnt alot. Thank you coursera for providing us such a nice and global platform to enhance skills and knowlegde by sitting at home.,She teaching very well! Easy to understand, her accent is very clear to understand, lesson is very useful to and might can use it for real. Thank you for lovely teaching and lovely lesson Thank you","Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course.",Approx. 21 hours to complete,Peking University,Language Learning,Other Languages
First Step Korean,"1,088,644",Seung Hae Kang,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/cc/73c6e0bb5611e6ab3599381600ab21/k_p.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,10075,"by AP,by PW","I have learned so much and I really enjoyed learning this beautiful language. I know that I will learn to speak and read with lots of practice and perseverance. Thank you so much for this opportunity!,useful course for fundamental learners. Everyone can take this course easily. the instructor gives me good teaching and more information.\n\nI can basically talk to Korean after finished the class.","This is an elementary-level Korean language course, consisting of 5 lessons with 4 units, and covers 4 skills: reading, writing, listening and speaking. The main topics include basic expressions used in everyday life, such as greetings, introducing yourself, talking about your family and a daily life and so on. Each lesson covers dialogues, pronunciation, vocabulary, grammar, quizzes and role-plays. ",Beginner Level,Yonsei University,Language Learning,Other Languages
Writing in English at University,"141,267",Satu Manninen,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/3d/6e6f40702411e693ae7172908e15bd/satu-cropped.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,106,"by TP,by FS","This course shared a lot of useful suggestions for writing in English at University. It will be an essential lesson for anyone who prepare their next education development.,It's a good course for the students who want to improve their academic writing. This course helped me out in writing better essays and assignments at university level.",Acquiring good academic research and writing skills early on is essential for your success both at university and in your professional life. ,Beginner Level,Lund University,Language Learning,Learning English
Cloud Computing Basics (Cloud 101),"119,282",Jim Sullivan,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e7/0848bf005145c18589994e0b4a5114/jimsullivan.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,1457,"by AG,by CI","Course was good. It was delivered at a steady pace, not too fast and had numerous examples of the things being taught. The only drawback was that some of the video transcripts were not well done.,Thank you for given opportunity to follow this excellent course, providing financial aid . Thank you every one for helping me this course helped me to get good knowledge about cloud computing",Welcome to Cloud Computing Basics (Cloud 101). ,Beginner Level,LearnQuest,Information Technology,Cloud Computing
Tricky American English Pronunciation,"194,645",Tamy Chapman,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/4d/c6d8303a2b11e5912c4326e10c3793/Screen-Shot-2015-08-03-at-3.01.02-PM.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,750,"by FF,by PY","the tutors were explained all subject clearly to us, non boring and easily understood. thankyou for helping us, i'm gonna practice more so i could improve my english pronounciation in the future.,They helped and taught me about American Englsih Pronunciation correctly which made me improves myself and encourage to speak out much more. Thank you so much for a good course from Coursera.","In this course, you’ll practice the sounds of American English that might sometimes be confusing. You'll practice both consonant and vowel sounds. You’ll also learn about the things that give English its special “music,” such as how to stress the right syllable in a word, how to make your voice go up and down in a natural-sounding melody, and how to naturally connect sounds and words. Learning these things will help you speak more clearly and make sure that others can understand what you're saying.",Beginner Level,"University of California, Irvine",Language Learning,Learning English
Developing AI Applications on Azure,"43,858","Ronald J. Daskevich, DCS",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d9/68b24e27034abca69bd0a4b9bd7ea9/2019-08-30-11.42.25.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.4,257,"by JP,by EV","The course is brief and very informative. It provides an overall idea regarding Microsoft Azure, project management and end-to-end machine learning from business understanding to deployment.,The teacher is extremely competent and clear in explaining even to those, like me, who are not expert on the topic; the course is well structured and provides rich and interesting contents","This course introduces the concepts of Artificial Intelligence and Machine learning. We'll discuss machine learning types and tasks, and machine learning algorithms. You'll  explore Python as a popular programming language for machine learning solutions, including using some scientific ecosystem packages which will help you implement machine learning. ",Approx. 16 hours to complete,LearnQuest,Data Science,Machine Learning
AWS Computer Vision: Getting Started with GluonCV,"38,973",Thom Lane,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b8/ccf51146e84521a6948c70f95ba03a/Screenshot-2019-11-08-at-10.38.05.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,108,"by AT,by ML","Excellent way to get introduced to gluonCV and it powerful tools to run pre trained models using popular datasets on Compute vision, looking forward to apply the knowledge on remote sensing images.,Very well developed course. It's both an introduction to AWS for machine learning and hands-on labs on GluonCV. Would like to see a new course with more advanced topics!","This course provides an overview of Computer Vision (CV), Machine Learning (ML) with Amazon Web Services (AWS), and how to build and train a CV model using the Apache MXNet and GluonCV toolkit. The course discusses artificial neural networks and other deep learning concepts, then walks through how to combine neural network building blocks into complete computer vision models and train them efficiently. ",Beginner Level,Amazon Web Services,Information Technology,Cloud Computing
Introduction to Cloud Identity,"69,247",Google Cloud Training,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c9/b2a070c36c11e68cc141fab179b5aa/Google-Cloud-logo-color-850.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,509,"by SG,by PK","The course has been explained very nicely and with all the in depth details required to implement it in practical life. Thankyou Coursera for introducing an amazing course with amazing teachers.,The coursera courses are always gives us an very useful information.I enjoyed the course and learned a lot from it. The content is well organised and the cloud identity concepts are awesome.","Introduction to Cloud Identity serves as the starting place for any new Cloud Identity, Identity/Access Management/Mobile Device Management admins as they begin their journey of managing and establishing security and access management best practices for their organization.  This 15-30 hour accelerated, one-week course will leave you feeling confident to utilize the basic functions of the Admin Console to manage users, control access to services, configure common security settings, and much more.",Beginner Level,Google Cloud,Information Technology,Cloud Computing
Introduction to TCP/IP,"59,518",Jong-Moon Chung,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/1e/bd02204b4811e5919185dfaf23163e/Prof-Jong-Moon-Chung.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,523,"by GP,by EJ","Very good class, not difficult, doesn't take long and doesn't require any background knowledge. I would recommend it to anyone wanting to learn more about how the Internet and their computers work.,Fantastic introductory course to the fundamentals in TCP/IP. Great course for those new to computer networks and would like to gain a high-level to intermediate overview of how the Internet works.","You use the Internet through your PC (Personal Computer), laptop, tablet, smartpad, and smartphone every day in everything you do. Through your own PC/laptop, you can easily learn everything about the Internet, and that is what this course is focused on. In this course ‘Introduction to TCP/IP,’ you will learn the operational functions of Internet technologies (which include IPv4, IPv6, TCP, UDP, addressing, routing, domain names, etc.) and your PC/laptop's security and gateway Internet setup and basic principles. In addition, through a simple Wireshark experiment, you will see the TCP/IP packets and security systems in action that are serving your PC/laptop, that serves you.",Beginner Level,Yonsei University,Computer Science,Computer Security and Networks
Managing Machine Learning Projects with Google Cloud,"109,657",Google Cloud Training,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c9/b2a070c36c11e68cc141fab179b5aa/Google-Cloud-logo-color-850.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,929,"by LD,by VK","Great for understanding the fundamentals of Machine Learning and its applicability. Hands-on learning provided in guided sessions within Google's Cloud Platform. No prior coding knowledge is required.,An excellent course to understand the multiple use cases of Machine learning along with 3 Labs for hands-on training,that too,without any coding :-). One of the best courses available on Coursera.","Business professionals in non-technical roles have a unique opportunity to lead or influence machine learning projects. If you have questions about machine learning and want to understand how to use it, without the technical jargon, this course is for you. Learn how to translate business problems into machine learning use cases and vet them for feasibility and impact. Find out how you can discover unexpected use cases, recognize the phases of an ML project and considerations within each, and gain confidence to propose a custom ML use case to your team or leadership or translate the requirements to a technical team.",Beginner Level,Google Cloud,Data Science,Machine Learning
